sender_id,sender_id_link,date,user goal (if supported),user goal fullfilled,user goal (not supported) ,reason for failure,details on failure / comments
,,08.11.2018,rasa_help,no,,user left,
,https://website-demo.rasa.com/conversations/88236ab9e38a4ed5b29f121ef6482ee7,08.11.2018,chitchat,no,,NLU,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/4d36aea6306248968e8408a285518520,08.11.2018,oos,no,mongo DB,"asked for rephrasing, should say that it cannot help",
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/2c7c7455810940358a34d081f51ae691,08.11.2018,oos,no,latest release,"asked for rephrasing, should say that it cannot help",
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/55dd4d8f908a4a668cb3beda8f81401a,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/55dd4d8f908a4a668cb3beda8f81401a,08.11.2018,oos,no,which colour has an apple,"asked for rephrasing, should say that it cannot help",
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/f1c2788b5a5e4bd1a094fc2ec369da5d,08.11.2018,sales,no,,NLU company name as greeting and restarted process,
,https://website-demo.rasa.com/conversations/1043ae1892494ac7be45a38c99b45e9e,08.11.2018,oos,no,weird stuff,should state earlier that he cannot help,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/8f217c1bd9294aa5bed6b2e2200a1f07,08.11.2018,oos,no,user told his name,wrong action,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/44a47056c8c44b569c444e615d710d19,08.11.2018,oos,yes,what is your address ,,
,https://website-demo.rasa.com/conversations/6b0932fb96b04169913b1a643599465b,08.11.2018,subscribe,no,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/46d94ada286d4df48fdf65c3dfbbea21,08.11.2018,rasa_help,no,,wrong action ,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,no,,user left,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d6312d9b4ffe41289c08bf011d3c18b2,08.11.2018,oos,no,alexa,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/0179c595f945416f8f669d08d337c30a,08.11.2018,,,,parf of conv is missing?,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/c4f419360df8440e91aab9328cfb1c9d,08.11.2018,whatspossible,no,tell me more,should state earlier that he cannot help,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d0d71ffadcfb4967ba39a7c0e1903f82,08.11.2018,whatspossible,no,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/6417224e670b4a9493266ec7919c9200,08.11.2018,chitchat,no,,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/ac8ba654a3104776ae016f1a6f963a41,08.11.2018,oos,no,analytics for rasa,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,sales,yes,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/e1514ac458024d9583b8afdce26e1b56,08.11.2018,oos,no,weird stuff,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,whatspossible,yes,,,
,,08.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/beb8c0a011ec4b6c88b7787411b57e22,08.11.2018,oos,no,"pipeline, install rasa ",NLU,
,https://website-demo.rasa.com/conversations/0a0f1a23effe4fbf9684d95000871c00,08.11.2018,oos,no,weird stuff,NLU,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/b28b924345654acabcc0ba56a26f3103,08.11.2018,rasa_help,no,demo,user left,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/7cfb2211239e482d8d8a4516b9ea5e5d,08.11.2018,oos,no,how to use rasa with windows,NLU,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/dd0e60e960ed4bb38c74ef247524013e,08.11.2018,rasa_help,no,,restarted after second hi,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,subscribe,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,sales,no,,user left,
,,08.11.2018,sales,no,,user left,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/19c314488f9a4f32af71721c48ca0adf,08.11.2018,-,no,,additional hi restarted the bot,
,https://website-demo.rasa.com/conversations/d5d70301b9624486bca8ac112dda3b2c,08.11.2018,rasa_help,no,,rasa_help but fallback,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/fa1ed11d4a1a409aa2ff6d538d8512df,08.11.2018,chitchat,no,,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/24c461f409eb4017a5aa4700cd7eca38,08.11.2018,rasa_help,no,,migrate? yes>> tutorial,
,,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/42391f6e11c34da8931debe4485442aa,10.11.2018,oos,no,cannot install rasa on anaconda,didn't state that it cannot help,
,,10.11.2018,oos,no,how to use the evaluate module from python,didn't respond,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,oos,no,asked for formal documentation,NLU as ask weather,
,,10.11.2018,-,,,,
,,10.11.2018,rasa_help,yes,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,oos,no,weird stuff,NLU as ask weather,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/44742ab2e3d54a5d949aec2dead9eaa6,10.11.2018,oos,no,how to install rasa,NLU as getstart,
,,10.11.2018,-,,,,
,,10.11.2018,chitchat,yes,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/f5660ab85a404a739a7b0ae3da8c036f,10.11.2018,rasa_help,no,,fallback whennot needed,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,rasa_help,yes,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d897388f317449af93aabaed3ff89241,10.11.2018,,no,,started without greeting,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/322007698e6c4221af2b7c09022fcac5,10.11.2018,oos,no,story,too often possibilities,
,https://website-demo.rasa.com/conversations/8f2409f5fd924e11bbd2316e93253225,10.11.2018,oos,no,how do you interpret  as question,NLU as howdoing,
,https://website-demo.rasa.com/conversations/c138494565a74c738197efb1fae948c3,10.11.2018,rasa_help,no,,didn't understand get started,
,,10.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/f9ad927842ce4dbb94deafd2d1f11018,10.11.2018,whatspossible,no,,,
,https://website-demo.rasa.com/conversations/fa206305633f4d85acc1b5ddd98cdff9,10.11.2018,rasa_help,no,tutorial,didn't send tutorial,
,,10.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/b27868924a2c4ea8b59d03b9b3286645,10.11.2018,oos,no,meaning of rasa,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/00ca45b5375e4c99a285fd7198aa2fef,10.11.2018,oos,no,how do you work,weather,
,,10.11.2018,oos,yes,error in code,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/9e545ee32b714028841bd87f8636b7c8,11.11.2018,subscribe,no,,should ask for correct address,
,https://website-demo.rasa.com/conversations/47a650184c30453fa712abd88e9c02d1,11.11.2018,oos,no,"technical questions, handoff",fallback instead of handoff,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
